symbol,company_name,date,year,quarter,call_timing,pre_price,post_price,return,label_ternary,label_binary,market_return,excess_return,label_ternary_excess,label_binary_excess,return_1d,label_binary_1d,label_ternary_1d,return_2d,label_binary_2d,label_ternary_2d,return_3d,label_binary_3d,label_ternary_3d
COF,Capital One Financial Corporation,2025-04-22 17:00:00,2025,1,after_close,167.9144287109375,174.0903778076172,0.03678033593713083,UP,UP,0.015495236846295793,0.021285099090835036,UP,UP,0.03678033593713083,UP,UP,0.08725041892181717,UP,UP,0.07361928457967874,UP,UP
V,Visa Inc.,2025-04-29 17:00:00,2025,2,after_close,338.9830017089844,342.9334411621094,0.011653798076035792,UP,UP,0.0003969240833687584,0.011256873992667034,UP,UP,0.011653798076035792,UP,UP,0.0027233127726970113,,FLAT,0.017802813249614347,UP,UP
PLTR,Palantir Technologies Inc.,2025-05-05 17:00:00,2025,1,after_close,123.7699966430664,108.86000061035156,-0.12046535054624728,DOWN,DOWN,-0.008358321714206397,-0.11210702883204088,DOWN,DOWN,-0.12046535054624728,DOWN,DOWN,-0.10737653426992573,DOWN,DOWN,-0.03732726219998902,DOWN,DOWN
PWR,"Quanta Services, Inc.",2025-05-01 09:00:00,2025,1,pre_market,292.4082946777344,321.6201477050781,0.0999009041776273,UP,UP,0.007086914929300623,0.09281398924832668,UP,UP,0.0999009041776273,UP,UP,0.09720188673436214,UP,UP,0.10225822628392753,UP,UP
ABNB,"Airbnb, Inc.",2025-05-01 17:00:00,2025,1,after_close,124.01000213623048,125.26000213623048,0.010079832097953031,UP,UP,0.014844129127253552,-0.004764297029300521,FLAT,,0.010079832097953031,UP,UP,0.007096179648890245,UP,UP,-0.01886947767902268,DOWN,DOWN
PLD,"Prologis, Inc.",2025-04-16 12:00:00,2025,1,during_market,95.173583984375,96.92281341552734,0.01837935861950435,UP,UP,-0.02222792044253507,0.04060727906203942,UP,UP,0.01837935861950435,UP,UP,0.03675871723900855,UP,UP,0.0015230959056618334,,FLAT
ABBV,AbbVie Inc.,2025-04-25 21:00:00,2025,1,after_close,180.1897430419922,186.2716217041016,0.03375263519129419,UP,UP,0.0003813020506448949,0.033371333140649294,UP,UP,0.03375263519129419,UP,UP,0.040040935174823426,UP,UP,0.04858659749858476,UP,UP
LMT,Lockheed Martin Corporation,2025-04-22 11:00:00,2025,1,during_market,446.1413879394531,449.7916870117188,0.008181933286048486,UP,UP,0.0260179406815508,-0.017836007395502316,DOWN,DOWN,0.008181933286048486,UP,UP,0.011389162483401065,UP,UP,0.018501950966953576,UP,UP
WELL,Welltower Inc.,2025-04-29 09:00:00,2025,1,pre_market,146.61448669433594,149.00477600097656,0.01630322733130687,UP,UP,0.006299340378101633,0.010003886953205237,UP,UP,0.01630322733130687,UP,UP,0.023750466642805917,UP,UP,0.008587788742228647,UP,UP
AMD,"Advanced Micro Devices, Inc.",2025-05-06 17:00:00,2025,1,after_close,98.62000274658205,100.36000061035156,0.01764345787173304,UP,UP,0.00420554784974836,0.013437910021984682,UP,UP,0.01764345787173304,UP,UP,0.0312309279647318,UP,UP,0.042790442849129154,UP,UP
CSCO,"Cisco Systems, Inc.",2025-05-14 16:30:00,2025,3,after_close,59.91100692749024,62.814186096191406,0.04845819353720522,UP,UP,0.004884236821186375,0.043573956716018845,UP,UP,0.04845819353720522,UP,UP,0.038015929770508716,UP,UP,0.0429107070850108,UP,UP
JNJ,Johnson & Johnson,2025-04-15 08:30:00,2025,1,pre_market,150.17581176757812,149.45587158203125,-0.004793982313617198,FLAT,,-0.0028010383342954113,-0.0019929439793217865,FLAT,,-0.004793982313617198,,FLAT,-0.0029150810177117842,,FLAT,0.02014779227065608,UP,UP
SCHW,The Charles Schwab Corporation,2025-04-17 08:30:00,2025,1,pre_market,74.77991485595703,75.22445678710938,0.00594467019665149,UP,UP,0.0014268092873082326,0.004517860909343257,FLAT,,0.00594467019665149,UP,UP,-0.009907409570707825,DOWN,DOWN,0.011624892504279678,UP,UP
MS,Morgan Stanley,2025-04-11 09:30:00,2025,1,during_market,103.79460144042967,105.29436492919922,0.014449340023048284,UP,UP,0.017842705515039466,-0.003393365491991183,FLAT,,0.014449340023048284,UP,UP,0.023738133212040862,UP,UP,0.03621695833590002,UP,UP
ETN,Eaton Corporation plc,2025-05-02 11:00:00,2025,1,during_market,297.9858703613281,296.0596008300781,-0.006464298219624532,DOWN,DOWN,0.014844129127253552,-0.021308427346878087,DOWN,DOWN,-0.006464298219624532,DOWN,DOWN,-0.0067637533526122085,DOWN,DOWN,-0.008327187709722286,DOWN,DOWN
C,Citigroup Inc.,2025-04-15 11:00:00,2025,1,during_market,61.61819076538086,62.70006942749024,0.017557780400089536,UP,UP,-0.0028010383342954113,0.02035881873438495,UP,UP,0.017557780400089536,UP,UP,-0.017716018837307796,DOWN,DOWN,0.00047452958578995697,,FLAT
GOOGL,Alphabet Inc.,2025-04-24 16:30:00,2025,1,after_close,158.72959899902344,161.40036010742188,0.01682585431602375,UP,UP,0.007225263975707628,0.009600590340316122,UP,UP,0.01682585431602375,UP,UP,0.008350009608264472,UP,UP,0.0055250164311416205,UP,UP
PFE,Pfizer Inc.,2025-04-29 10:00:00,2025,1,during_market,21.49010467529297,22.18002700805664,0.03210418670304901,UP,UP,0.006299340378101633,0.025804846324947374,UP,UP,0.03210418670304901,UP,UP,0.05900219792235823,UP,UP,0.03817793976109354,UP,UP
SYK,Stryker Corporation,2025-05-01 16:30:00,2025,1,after_close,370.4166259765625,374.6062316894531,0.011310522852059333,UP,UP,0.014844129127253552,-0.0035336062751942197,FLAT,,0.011310522852059333,UP,UP,0.01970643473469518,UP,UP,0.009438851087823736,UP,UP
SPGI,S&P Global Inc.,2025-04-29 08:30:00,2025,1,pre_market,475.6039733886719,487.8966064453125,0.025846363244309715,UP,UP,0.006299340378101633,0.01954702286620808,UP,UP,0.025846363244309715,UP,UP,0.04313991942425695,UP,UP,0.040803573221780534,UP,UP
BLK,"BlackRock, Inc.",2025-04-11 07:30:00,2025,1,pre_market,841.4389038085938,861.0350952148438,0.023288905846344896,UP,UP,0.017842705515039466,0.005446200331305429,UP,UP,0.023288905846344896,UP,UP,0.036295742062586796,UP,UP,0.03453745375335437,UP,UP
UBER,"Uber Technologies, Inc.",2025-05-07 08:00:00,2025,1,pre_market,85.83000183105469,83.6500015258789,-0.025399047636825538,DOWN,DOWN,0.00420554784974836,-0.029604595486573897,DOWN,DOWN,-0.025399047636825538,DOWN,DOWN,-0.04112779568903218,DOWN,DOWN,-0.035185881487051894,DOWN,DOWN
PM,Philip Morris International Inc.,2025-04-23 09:00:00,2025,1,pre_market,158.4940185546875,162.3571319580078,0.024373875043034298,UP,UP,0.015495236846295793,0.008878638196738505,UP,UP,0.024373875043034298,UP,UP,0.036317095957048115,UP,UP,0.03735299984673244,UP,UP
SPG,"Simon Property Group, Inc.",2025-05-12 17:00:00,2025,1,after_close,163.3092803955078,153.2501220703125,-0.0615957543921185,DOWN,DOWN,0.006603940317170001,-0.0681996947092885,DOWN,DOWN,-0.0615957543921185,DOWN,DOWN,-0.059845998701067785,DOWN,DOWN,-0.04905491982957098,DOWN,DOWN
GS,"The Goldman Sachs Group, Inc.",2025-04-14 09:30:00,2025,1,during_market,484.4046020507813,493.7510070800781,0.019294624761465443,UP,UP,0.009701552505080112,0.00959307225638533,UP,UP,0.019294624761465443,UP,UP,0.027202533615322027,UP,UP,0.009323711945527405,UP,UP
PG,The Procter & Gamble Company,2025-04-24 08:30:00,2025,3,pre_market,162.30885314941406,156.23684692382812,-0.03741019733530079,DOWN,DOWN,0.021049134902774137,-0.05845933223807493,DOWN,DOWN,-0.03741019733530079,DOWN,DOWN,-0.028419566172009914,DOWN,DOWN,-0.02341151555507798,DOWN,DOWN
TJX,"The TJX Companies, Inc.",2025-02-26 11:00:00,2025,4,during_market,121.22137451171876,123.38499450683594,0.0178485024100103,UP,UP,0.0005049592500177663,0.017343543159992533,UP,UP,0.0178485024100103,UP,UP,0.006438526734172687,UP,UP,0.016789072101932773,UP,UP
HWM,Howmet Aerospace Inc.,2025-05-01 10:00:00,2025,1,during_market,138.24058532714844,147.66744995117188,0.06819172966979718,UP,UP,0.007086914929300623,0.06110481474049656,UP,UP,0.06819172966979718,UP,UP,0.11177655858587475,UP,UP,0.1137249599464002,UP,UP
ECL,Ecolab Inc.,2025-04-29 13:00:00,2025,1,during_market,236.5743865966797,244.3734436035156,0.03296661620487266,UP,UP,0.006299340378101633,0.026667275826771024,UP,UP,0.03296661620487266,UP,UP,0.051876276393032855,UP,UP,0.05685475343068067,UP,UP
AXP,American Express Company,2025-04-17 08:30:00,2025,1,pre_market,250.2963714599609,248.70306396484372,-0.006365683552756032,DOWN,DOWN,0.0014268092873082326,-0.0077924928400642645,DOWN,DOWN,-0.006365683552756032,DOWN,DOWN,-0.04115933607272081,DOWN,DOWN,-0.00197690445463719,,FLAT
ISRG,"Intuitive Surgical, Inc.",2025-04-22 04:30:00,2025,1,pre_market,468.3200073242188,478.739990234375,0.022249706925167558,UP,UP,0.0260179406815508,-0.0037682337563832435,FLAT,,0.022249706925167558,UP,UP,0.041873046303542764,UP,UP,0.0850059722753488,UP,UP
AMZN,"Amazon.com, Inc.",2025-05-01 17:00:00,2025,1,after_close,190.1999969482422,189.97999572753903,-0.0011566836184704085,FLAT,,0.014844129127253552,-0.01600081274572396,DOWN,DOWN,-0.0011566836184704085,,FLAT,-0.02024180287328954,DOWN,DOWN,-0.027287079519872658,DOWN,DOWN
WMB,"The Williams Companies, Inc.",2025-05-06 09:30:00,2025,1,during_market,58.261749267578125,56.8383674621582,-0.024430811352449636,DOWN,DOWN,-0.008358321714206397,-0.01607248963824324,DOWN,DOWN,-0.024430811352449636,DOWN,DOWN,-0.02044219564920191,DOWN,DOWN,-0.05168694126773526,DOWN,DOWN
MO,"Altria Group, Inc.",2025-04-29 09:00:00,2025,1,pre_market,54.36538314819336,54.907257080078125,0.009967260423929761,UP,UP,0.006299340378101633,0.0036679200458281285,FLAT,,0.009967260423929761,UP,UP,0.016497703865240288,UP,UP,0.019247367954621796,UP,UP
DE,Deere & Company,2025-05-15 10:00:00,2025,2,during_market,491.0641479492188,509.6407165527344,0.03782920964826082,UP,UP,0.004884236821186375,0.03294497282707445,UP,UP,0.03782920964826082,UP,UP,0.06830147428499682,UP,UP,0.06498487681768707,UP,UP
AAPL,Apple Inc.,2025-05-01 19:13:00,2025,2,after_close,212.3943023681641,204.4588928222656,-0.03736168747193257,DOWN,DOWN,0.014844129127253552,-0.05220581659918612,DOWN,DOWN,-0.03736168747193257,DOWN,DOWN,-0.0676448741989012,DOWN,DOWN,-0.06942626347994653,DOWN,DOWN
BA,The Boeing Company,2025-04-23 10:30:00,2025,1,during_market,162.52000427246094,172.3699951171875,0.06060786725191864,UP,UP,0.015495236846295793,0.04511263040562285,UP,UP,0.06060786725191864,UP,UP,0.0845433784959803,UP,UP,0.09494211340231835,UP,UP
MAR,"Marriott International, Inc.",2025-05-06 08:30:00,2025,1,pre_market,244.9542236328125,249.60031127929688,0.018967166916251593,UP,UP,-0.008358321714206397,0.02732548863045799,UP,UP,0.018967166916251593,UP,UP,0.03526510404078409,UP,UP,0.04865112014212613,UP,UP
EQIX,"Equinix, Inc.",2025-04-30 17:30:00,2025,1,after_close,841.24267578125,842.4349975585938,0.0014173339176313873,FLAT,,0.007086914929300623,-0.005669581011669236,DOWN,DOWN,0.0014173339176313873,,FLAT,0.01754279934875919,UP,UP,0.02609352735124342,UP,UP
SHW,The Sherwin-Williams Company,2025-04-29 10:00:00,2025,1,during_market,329.2583923339844,345.0473327636719,0.047953038699380925,UP,UP,0.006299340378101633,0.04165369832127929,UP,UP,0.047953038699380925,UP,UP,0.06237207621479341,UP,UP,0.0645394410063676,UP,UP
AVGO,Broadcom Inc.,2025-03-06 17:00:00,2025,1,after_close,177.47067260742188,192.80960083007807,0.08643077753239278,UP,UP,0.0056047542726263885,0.0808260232597664,UP,UP,0.08643077753239278,UP,UP,0.027862940189934963,UP,UP,0.05929221222627888,UP,UP
AMT,American Tower Corporation,2025-04-29 08:30:00,2025,1,pre_market,203.7792816162109,213.4522857666016,0.04746804519906199,UP,UP,0.006299340378101633,0.041168704820960356,UP,UP,0.04746804519906199,UP,UP,0.06677709322562952,UP,UP,0.060246146745320715,UP,UP
COST,Costco Wholesale Corporation,2025-03-06 17:00:00,2025,2,after_close,1021.0243530273438,959.053955078125,-0.060694338744689214,DOWN,DOWN,0.0056047542726263885,-0.0662990930173156,DOWN,DOWN,-0.060694338744689214,DOWN,DOWN,-0.08981907064623929,DOWN,DOWN,-0.09363735329420271,DOWN,DOWN
AMGN,Amgen Inc.,2025-05-01 16:30:00,2025,1,after_close,275.1478881835937,272.6657409667969,-0.009021138534563617,DOWN,DOWN,0.014844129127253552,-0.02386526766181717,DOWN,DOWN,-0.009021138534563617,DOWN,DOWN,-0.01310862877141467,DOWN,DOWN,-0.04700818962103767,DOWN,DOWN
MSFT,Microsoft Corporation,2025-04-30 17:30:00,2025,3,after_close,392.2570190429688,422.1680603027344,0.07625368013233445,UP,UP,0.007086914929300623,0.06916676520303383,UP,UP,0.07625368013233445,UP,UP,0.10124987182457526,UP,UP,0.10350163589963741,UP,UP
CVX,Chevron Corporation,2025-05-02 11:00:00,2025,1,during_market,130.39210510253906,132.53564453125,0.01643918109171778,UP,UP,0.014844129127253552,0.0015950519644642273,FLAT,,0.01643918109171778,UP,UP,-0.0055775186981218035,DOWN,DOWN,-0.004843554590979427,,FLAT
GE,General Electric Company,2025-04-25 07:30:00,2025,1,pre_market,196.37060546875,197.3852386474609,0.0051669300315539115,UP,UP,0.007225263975707628,-0.002058333944153717,FLAT,,0.0051669300315539115,UP,UP,0.01747625986219655,UP,UP,0.015652779193717888,UP,UP
NEM,Newmont Corporation,2025-04-24 17:30:00,2025,1,after_close,54.98526763916016,53.24785232543945,-0.03159783317092257,DOWN,DOWN,0.007225263975707628,-0.038823097146630195,DOWN,DOWN,-0.03159783317092257,DOWN,DOWN,-0.0292639310872763,DOWN,DOWN,-0.049192115086535655,DOWN,DOWN
DUK,Duke Energy Corporation,2025-05-06 10:00:00,2025,1,during_market,116.62049865722656,118.73558807373048,0.0181365149425457,UP,UP,-0.008358321714206397,0.026494836656752098,UP,UP,0.0181365149425457,UP,UP,0.015320808060772288,UP,UP,-0.006211302838826557,DOWN,DOWN
NEE,"NextEra Energy, Inc.",2025-04-23 09:00:00,2025,1,pre_market,64.71536254882812,65.3271713256836,0.00945384144906637,UP,UP,0.015495236846295793,-0.006041395397229423,DOWN,DOWN,0.00945384144906637,UP,UP,-0.004351730860188636,,FLAT,-0.008253351774715846,DOWN,DOWN
AEP,"American Electric Power Company, Inc.",2025-05-06 09:00:00,2025,1,pre_market,103.97093200683594,103.97093200683594,0.0,FLAT,,-0.008358321714206397,0.008358321714206397,UP,UP,0.0,,FLAT,0.0003722571079238985,,FLAT,-0.02094193889817473,DOWN,DOWN
MA,Mastercard Incorporated,2025-05-01 09:00:00,2025,1,pre_market,544.8417358398438,543.4201049804688,-0.0026092546988597223,FLAT,,0.007086914929300623,-0.009696169628160346,DOWN,DOWN,-0.0026092546988597223,,FLAT,0.020672955151222396,UP,UP,0.023829445347417245,UP,UP
LRCX,Lam Research Corporation,2025-04-23 17:00:00,2025,3,after_close,66.24462127685547,70.38429260253906,0.06249067842629378,UP,UP,0.021049134902774137,0.04144154352351964,UP,UP,0.06249067842629378,UP,UP,0.07028319732713412,UP,UP,0.07253108582873181,UP,UP
KLAC,KLA Corporation,2025-04-30 17:00:00,2025,3,after_close,697.4022827148438,671.2208251953125,-0.037541399230315416,DOWN,DOWN,0.007086914929300623,-0.04462831415961604,DOWN,DOWN,-0.037541399230315416,DOWN,DOWN,-0.006446653181331145,DOWN,DOWN,-0.013377192617798385,DOWN,DOWN
APD,"Air Products and Chemicals, Inc.",2025-05-01 08:00:00,2025,2,pre_market,264.0071716308594,265.0492248535156,0.003947064074885328,FLAT,,0.007086914929300623,-0.003139850854415295,FLAT,,0.003947064074885328,,FLAT,0.024088002906489166,UP,UP,0.004131436100874963,,FLAT
UNP,Union Pacific Corporation,2025-04-24 08:45:00,2025,1,pre_market,214.71592712402344,210.48570251464844,-0.01970149427681512,DOWN,DOWN,0.021049134902774137,-0.04075062917958926,DOWN,DOWN,-0.01970149427681512,DOWN,DOWN,-0.02952957167769489,DOWN,DOWN,-0.032623457862678666,DOWN,DOWN
FDX,FedEx Corporation,2025-03-20 17:30:00,2025,3,after_close,240.85690307617188,225.3221740722656,-0.06449775283788882,DOWN,DOWN,0.0003299202519351197,-0.06482767308982394,DOWN,DOWN,-0.06449775283788882,DOWN,DOWN,-0.01579950532151251,DOWN,DOWN,-0.02087654210082408,DOWN,DOWN
UNH,UnitedHealth Group Incorporated,2025-04-17 08:45:00,2025,1,pre_market,568.9952392578125,441.656005859375,-0.2237966587638529,DOWN,DOWN,0.0014268092873082326,-0.22522346805116114,DOWN,DOWN,-0.2237966587638529,DOWN,DOWN,-0.2729897972822072,DOWN,DOWN,-0.2698276884816793,DOWN,DOWN
JPM,JPMorgan Chase & Co.,2025-04-11 08:30:00,2025,1,pre_market,222.7774200439453,231.69400024414065,0.040024613798096985,UP,UP,0.017842705515039466,0.02218190828305752,UP,UP,0.040024613798096985,UP,UP,0.033508012121418844,UP,UP,0.026507024925648673,UP,UP
GEV,GE Vernova Inc.,2025-04-23 07:30:00,2025,1,pre_market,325.3558959960937,335.3539123535156,0.030729476491620028,UP,UP,0.015495236846295793,0.015234239645324235,UP,UP,0.030729476491620028,UP,UP,0.10555992339368474,UP,UP,0.14214733677870425,UP,UP
TXN,Texas Instruments Incorporated,2025-04-23 16:30:00,2025,1,after_close,147.49252319335938,157.16702270507812,0.0655931521290452,UP,UP,0.021049134902774137,0.04454401722627107,UP,UP,0.0655931521290452,UP,UP,0.070391068965981,UP,UP,0.06763058823285989,UP,UP
PH,Parker-Hannifin Corporation,2025-05-01 11:00:00,2025,3,during_market,599.5157470703125,604.5294189453125,0.008362869364984312,UP,UP,0.007086914929300623,0.001275954435683689,FLAT,,0.008362869364984312,UP,UP,0.023072108368713113,UP,UP,0.01902281972775472,UP,UP
SBUX,Starbucks Corporation,2025-04-29 17:00:00,2025,2,after_close,82.5716781616211,77.90055847167969,-0.05657048268776157,DOWN,DOWN,0.0003969240833687584,-0.056967406771130324,DOWN,DOWN,-0.05657048268776157,DOWN,DOWN,-0.0334708974127389,DOWN,DOWN,-0.0018857351146903745,,FLAT
NFLX,"Netflix, Inc.",2025-04-17 16:45:00,2025,1,after_close,97.3030014038086,98.79100036621094,0.015292426142407783,UP,UP,-0.023802760939665192,0.03909518708207298,UP,UP,0.015292426142407783,UP,UP,0.06917561720721166,UP,UP,0.07868203569803553,UP,UP
HD,"The Home Depot, Inc.",2025-02-25 09:00:00,2024,4,pre_market,370.6397705078125,381.1749267578125,0.028424246635933893,UP,UP,-0.004973156979543025,0.03339740361547692,UP,UP,0.028424246635933893,UP,UP,0.021076194858117545,UP,UP,0.020527003264849335,UP,UP
TMO,Thermo Fisher Scientific Inc.,2025-04-23 08:30:00,2025,1,pre_market,433.1361999511719,430.0575256347656,-0.007107866571192419,DOWN,DOWN,0.015495236846295793,-0.02260310341748821,DOWN,DOWN,-0.007107866571192419,DOWN,DOWN,-0.01856329669956479,DOWN,DOWN,-0.024129981757917824,DOWN,DOWN
BKNG,Booking Holdings Inc.,2025-04-29 16:30:00,2025,1,after_close,194.87564086914065,202.41981506347656,0.03871276143436437,UP,UP,0.0003969240833687584,0.03831583735099561,UP,UP,0.03871276143436437,UP,UP,0.039150694091549934,UP,UP,0.0597994576932622,UP,UP
GILD,"Gilead Sciences, Inc.",2025-04-24 16:30:00,2025,1,after_close,103.4006576538086,100.49783325195312,-0.028073558405927103,DOWN,DOWN,0.007225263975707628,-0.03529882238163473,DOWN,DOWN,-0.028073558405927103,DOWN,DOWN,0.001789871135623726,,FLAT,-0.018276046709010767,DOWN,DOWN
ORCL,Oracle Corporation,2025-03-10 17:00:00,2025,3,after_close,146.78472900390625,142.23687744140625,-0.0309831383234626,DOWN,DOWN,-0.008312957516975182,-0.022670180806487417,DOWN,DOWN,-0.0309831383234626,DOWN,DOWN,0.014113977132720784,UP,UP,-0.007594636164763832,DOWN,DOWN
WMT,Walmart Inc.,2025-02-20 08:00:00,2025,4,pre_market,102.80296325683594,96.0911102294922,-0.06528851712742266,DOWN,DOWN,-0.004160364041450892,-0.06112815308597177,DOWN,DOWN,-0.06528851712742266,DOWN,DOWN,-0.08865382917031242,DOWN,DOWN,-0.09932688118896382,DOWN,DOWN
TMUS,"T-Mobile US, Inc.",2025-04-24 16:30:00,2025,1,after_close,257.77569580078125,228.85975646972656,-0.11217480857234118,DOWN,DOWN,0.007225263975707628,-0.1194000725480488,DOWN,DOWN,-0.11217480857234118,DOWN,DOWN,-0.09691807329502757,DOWN,DOWN,-0.0785337608564859,DOWN,DOWN
RTX,RTX Corporation,2025-04-22 08:30:00,2025,1,pre_market,124.02633666992188,111.8616943359375,-0.09808112261155312,DOWN,DOWN,0.0260179406815508,-0.12409906329310393,DOWN,DOWN,-0.09808112261155312,DOWN,DOWN,-0.04630501993678789,DOWN,DOWN,-0.03290505020182845,DOWN,DOWN
KO,The Coca-Cola Company,2025-04-29 20:30:00,2025,1,after_close,70.31175231933594,70.5061264038086,0.0027644608200043793,FLAT,,0.0003969240833687584,0.002367536736635621,FLAT,,0.0027644608200043793,,FLAT,-0.014650980446623673,DOWN,DOWN,-0.009675124583573046,DOWN,DOWN
MRK,"Merck & Co., Inc.",2025-04-24 09:00:00,2025,1,pre_market,75.97991180419922,77.04134368896484,0.013969901511611945,UP,UP,0.021049134902774137,-0.007079233391162192,DOWN,DOWN,0.013969901511611945,UP,UP,0.05080009828454903,UP,UP,0.056515121893224704,UP,UP
COP,ConocoPhillips,2025-05-08 12:00:00,2025,1,during_market,84.80526733398438,85.87850952148438,0.012655371785732407,UP,UP,0.006967790512363359,0.005687581273369048,UP,UP,0.012655371785732407,UP,UP,0.01003311023538459,UP,UP,0.05198938500463673,UP,UP
MU,"Micron Technology, Inc.",2025-03-20 16:30:00,2025,2,after_close,102.62042236328124,94.37094116210938,-0.0803882990460544,DOWN,DOWN,0.0003299202519351197,-0.08071821929798953,DOWN,DOWN,-0.0803882990460544,DOWN,DOWN,-0.05883486495536564,DOWN,DOWN,-0.08563101420123201,DOWN,DOWN
PEP,"PepsiCo, Inc.",2025-04-24 08:15:00,2025,1,pre_market,136.78097534179688,130.09864807128906,-0.04885421568174663,DOWN,DOWN,0.021049134902774137,-0.06990335058452077,DOWN,DOWN,-0.04885421568174663,DOWN,DOWN,-0.06242080892201072,DOWN,DOWN,-0.05974992631701777,DOWN,DOWN
LLY,Eli Lilly and Company,2025-05-01 10:00:00,2025,1,during_market,892.343017578125,788.2635498046875,-0.1166361653794476,DOWN,DOWN,0.007086914929300623,-0.12372308030874822,DOWN,DOWN,-0.1166361653794476,DOWN,DOWN,-0.08379778371600616,DOWN,DOWN,-0.08620063216870308,DOWN,DOWN
CEG,Constellation Energy Corporation,2025-05-06 09:00:00,2025,1,pre_market,247.0178985595703,272.43902587890625,0.10291208640172862,UP,UP,-0.008358321714206397,0.11127040811593503,UP,UP,0.10291208640172862,UP,UP,0.07995328801533676,UP,UP,0.08990203887744219,UP,UP
SRE,Sempra,2025-05-08 12:00:00,2025,1,during_market,73.61473846435547,73.52740478515625,-0.001186361332269163,FLAT,,0.006967790512363359,-0.008154151844632522,DOWN,DOWN,-0.001186361332269163,,FLAT,-0.005800080859536249,DOWN,DOWN,-0.002504655745343659,,FLAT
TSLA,"Tesla, Inc.",2025-04-22 17:30:00,2025,1,after_close,237.97000122070312,250.7400054931641,0.05366224400956127,UP,UP,0.015495236846295793,0.03816700716326548,UP,UP,0.05366224400956127,UP,UP,0.09051564665474279,UP,UP,0.19741988799149915,UP,UP
NVDA,NVIDIA Corporation,2025-02-26 17:00:00,2025,4,after_close,131.23699951171875,120.1106414794922,-0.0847806493109668,DOWN,DOWN,-0.015962031565375154,-0.06881861774559164,DOWN,DOWN,-0.0847806493109668,DOWN,DOWN,-0.04844607701562701,DOWN,DOWN,-0.13117004474494545,DOWN,DOWN
